canton,mes,anio,produccion,area
Oreamuno,febrero,2007,2159.84,87.85
Oreamuno,marzo,2007,288.14,12.25
Oreamuno,abril,2007,1571.83,65.99
Oreamuno,mayo,2007,845.8,35.71
Oreamuno,junio,2007,1831.29,76.31
Oreamuno,julio,2007,2544.44,94.5
Oreamuno,agosto,2007,709.51,30.19
Oreamuno,septiembre,2007,2792.63,116.89
Oreamuno,octubre,2007,2588.02,107.9
Oreamuno,noviembre,2007,1428.08,57.41
Oreamuno,diciembre,2007,986.89,42.9
El Guarco,enero,2007,50.14,3.69
El Guarco,febrero,2007,63.63,3.13
El Guarco,marzo,2007,8.28,0.7
El Guarco,abril,2007,,
El Guarco,mayo,2007,,
El Guarco,junio,2007,8.28,0.35
El Guarco,julio,2007,37.29,2.81
El Guarco,agosto,2007,12.75,0.98
El Guarco,septiembre,2007,51.3,3.54
El Guarco,octubre,2007,91.99,5.25
El Guarco,noviembre,2007,82.46,6.32
El Guarco,diciembre,2007,29.65,1.47
Cartago,enero,2007,894.17,71.24
Cartago,febrero,2007,3841.46,233.31
Cartago,marzo,2007,957.96,67.74
Cartago,abril,2007,,
Cartago,mayo,2007,626.48,33.78
Cartago,junio,2007,48.95,2.63
Cartago,julio,2007,374.26,19.95
Cartago,agosto,2007,4148.95,206.01
Cartago,septiembre,2007,2613.13,126.75
Cartago,octubre,2007,1426.22,62.66
Cartago,noviembre,2007,499.62,21.54
Cartago,diciembre,2007,417.9,25.21
Alvarado,enero,2007,1246.78,47.26
Alvarado,febrero,2007,445.05,15.4
Alvarado,marzo,2007,46.37,1.4
Alvarado,abril,2007,2258.55,90.79
Alvarado,mayo,2007,1904.07,75.65
Alvarado,junio,2007,1831.41,66.69
Alvarado,julio,2007,2549.58,79.63
Alvarado,agosto,2007,1174.52,39.77
Alvarado,septiembre,2007,478.8,16.52
Alvarado,octubre,2007,195.53,6.48
Alvarado,noviembre,2007,556.49,21.01
Alvarado,diciembre,2007,1356.43,59.47
Turrialba,enero,2008,92.74,2.8
Turrialba,febrero,2008,116.75,3.5
Turrialba,marzo,2008,,
Turrialba,abril,2008,167.26,7.7
Turrialba,mayo,2008,,
Turrialba,junio,2008,132.48,5.6
Turrialba,julio,2008,,
Turrialba,agosto,2008,,
Turrialba,septiembre,2008,,
Turrialba,octubre,2008,,
Turrialba,noviembre,2008,279.45,10.15
Turrialba,diciembre,2008,509.63,18.55
Oreamuno,enero,2008,1658.58,66.52
Oreamuno,febrero,2008,850.43,31.68
Oreamuno,marzo,2008,345.28,15.05
Oreamuno,abril,2008,2596.71,115.93
Oreamuno,mayo,2008,1857.69,77.55
Oreamuno,junio,2008,997.73,39.21
Oreamuno,julio,2008,2173.91,93.1
Oreamuno,agosto,2008,349.0,16.65
Oreamuno,septiembre,2008,1203.82,51.1
Oreamuno,octubre,2008,2401.2,97.3
Oreamuno,noviembre,2008,639.43,26.12
Oreamuno,diciembre,2008,658.97,27.8
El Guarco,enero,2008,43.06,2.8
El Guarco,febrero,2008,51.64,3.58
El Guarco,marzo,2008,27.66,1.4
El Guarco,abril,2008,22.72,1.87
El Guarco,mayo,2008,6.66,1.34
El Guarco,junio,2008,62.32,3.88
El Guarco,julio,2008,40.34,3.05
El Guarco,agosto,2008,21.02,1.51
El Guarco,septiembre,2008,54.72,4.05
